swapNs,durationNs,display,surfaceId,label
28466616583,16653375,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,702 :Surface  532 )"
28483269958,16646042,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,703 :Surface  529 )"
28499916000,16646541,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,704 :Surface  533 )"
28516562541,16647584,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,705 :Surface  532 )"
28533210125,16641833,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,706 :Surface  529 )"
28549851958,16655958,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,707 :Surface  533 )"
28566507916,16640750,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,708 :Surface  532 )"
28583148666,16647542,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,709 :Surface  529 )"
28599796208,16642750,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,710 :Surface  533 )"
28616438958,16654042,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,711 :Surface  532 )"
28633093000,16648833,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,712 :Surface  529 )"
28649741833,16643083,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,713 :Surface  533 )"
28666384916,33303750,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,714 :Surface  532 )"
28699688666,16648959,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,716 :Surface  533 )"
28716337625,16641291,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,717 :Surface  532 )"
28732978916,16656750,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,718 :Surface  529 )"
28749635666,16643917,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,719 :Surface  533 )"
28766279583,16651875,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,720 :Surface  532 )"
28782931458,16648208,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,721 :Surface  529 )"
28799579666,16650500,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,722 :Surface  533 )"
28816230166,16652500,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,723 :Surface  532 )"
28832882666,16643667,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,724 :Surface  529 )"
28849526333,16653292,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,725 :Surface  533 )"
28866179625,16644250,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,726 :Surface  532 )"
28882823875,16651250,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,727 :Surface  529 )"
28899475125,16648500,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,728 :Surface  533 )"
28916123625,16644541,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,729 :Surface  532 )"
28932768166,16651709,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,730 :Surface  529 )"
28949419875,16642625,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,731 :Surface  533 )"
28966062500,16657041,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,732 :Surface  532 )"
28982719541,16646209,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,733 :Surface  529 )"
28999365750,16649583,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,734 :Surface  533 )"
29016015333,16644875,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,735 :Surface  532 )"
29032660208,16648583,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,736 :Surface  529 )"
29049308791,16649167,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,737 :Surface  533 )"
