swapNs,durationNs,display,surfaceId,label
69056005166,16645917,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  134 :Surface  568 )"
69072651083,16641208,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  135 :Surface  564 )"
69089292291,16649459,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  136 :Surface  565 )"
69105941750,16643375,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  137 :Surface  568 )"
69122585125,16650041,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  138 :Surface  564 )"
69139235166,16655500,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  139 :Surface  565 )"
69155890666,16635167,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  140 :Surface  568 )"
69172525833,16654292,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  141 :Surface  564 )"
69189180125,16646583,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  142 :Surface  565 )"
69205826708,16647583,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  143 :Surface  568 )"
69222474291,16645042,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  144 :Surface  564 )"
69239119333,16639042,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  145 :Surface  565 )"
69255758375,16655125,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  146 :Surface  568 )"
69272413500,16647375,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  147 :Surface  564 )"
69289060875,16631541,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  148 :Surface  565 )"
69305692416,16651875,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  149 :Surface  568 )"
69322344291,16654584,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  150 :Surface  564 )"
69338998875,16646583,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  151 :Surface  565 )"
69355645458,16637167,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  152 :Surface  568 )"
69372282625,16652416,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  153 :Surface  564 )"
69388935041,16647375,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  154 :Surface  565 )"
69405582416,16647875,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  155 :Surface  568 )"
69422230291,16654750,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  156 :Surface  564 )"
69438885041,16639292,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  157 :Surface  565 )"
69455524333,16655292,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  158 :Surface  568 )"
69472179625,16645958,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  159 :Surface  564 )"
69488825583,16647792,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  160 :Surface  565 )"
69505473375,16652625,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  161 :Surface  568 )"
69522126000,16638500,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  162 :Surface  564 )"
