--------- beginning of main
09-22 14:29:35.319 26942 26978 E OpenGLRenderer: EglManager::fenceWait: error dup'ing fence fd: 24
09-22 14:29:35.321 26942 26942 E Surface : dequeueBuffer: error duping fence: 24
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #24 pc 003da78c  /apex/com.android.art/lib64/libart.so (art::interpreter::ArtInterpreterToInterpreterBridge+104) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #25 pc 003db30c  /apex/com.android.art/lib64/libart.so (bool art::interpreter::DoCall<false>+1760) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #26 pc 00230a58  /apex/com.android.art/lib64/libart.so (void art::interpreter::ExecuteSwitchImplCpp<false>+14012) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #27 pc 00229bd8  /apex/com.android.art/lib64/libart.so (ExecuteSwitchImplAsm+8) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #28 pc 001f615c  /system/framework/framework.jar (android.view.ViewRootImpl.performDraw)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #29 pc 003d3dec  /apex/com.android.art/lib64/libart.so (art::interpreter::Execute +452) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #30 pc 003da78c  /apex/com.android.art/lib64/libart.so (art::interpreter::ArtInterpreterToInterpreterBridge+104) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #31 pc 003dbe40  /apex/com.android.art/lib64/libart.so (bool art::interpreter::DoCall<true>+1664) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #32 pc 002309a0  /apex/com.android.art/lib64/libart.so (void art::interpreter::ExecuteSwitchImplCpp<false>+13828) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #33 pc 00229bd8  /apex/com.android.art/lib64/libart.so (ExecuteSwitchImplAsm+8) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #34 pc 001fc57c  /system/framework/framework.jar (android.view.ViewRootImpl.performTraversals)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #35 pc 003d3dec  /apex/com.android.art/lib64/libart.so (art::interpreter::Execute +452) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #36 pc 003da78c  /apex/com.android.art/lib64/libart.so (art::interpreter::ArtInterpreterToInterpreterBridge+104) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #37 pc 003db30c  /apex/com.android.art/lib64/libart.so (bool art::interpreter::DoCall<false>+1760) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #38 pc 00230a58  /apex/com.android.art/lib64/libart.so (void art::interpreter::ExecuteSwitchImplCpp<false>+14012) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
